sign,ordinal_source,page,locus,label,raw
Libra,8,f72v1,"f72v1.9,&Lz",okeeoly,okeeoly
Libra,9,f72v1,"f72v1.10,&Lz",odal,odal
Libra,10,f72v1,"f72v1.11,&Lz",aiinod,aiinod
Libra,11,f72v1,"f72v1.12,&Lz",odady,odady
Libra,12,f72v1,"f72v1.13,&Lz",oteod,oteod
Libra,13,f72v1,"f72v1.14,&Lz",yteod,yteod
Libra,14,f72v1,"f72v1.15,&Lz",okeeody,okeeody
Libra,15,f72v1,"f72v1.16,&Lz",okal,okal
Libra,16,f72v1,"f72v1.17,&Lz",ytaly,ytaly
Libra,17,f72v1,"f72v1.18,&Lz",oeeeos,oeeeos
Libra,18,f72v1,"f72v1.19,&Lz",oteofy,oteofy
Libra,19,f72v1,"f72v1.20,&Lz",cheoepy,cheoepy
Libra,20,f72v1,"f72v1.21,&Lz",ykeedy,ykeedy
Libra,21,f72v1,"f72v1.23,@Lz",oeeoly,oeeoly
Libra,22,f72v1,"f72v1.24,&Lz",okydy,okydy
Libra,23,f72v1,"f72v1.25,&Lz",okeey,okeey
Libra,24,f72v1,"f72v1.26,&Lz",oiiny,oiiny
Libra,25,f72v1,"f72v1.27,&Lz",oeey,oeey
Libra,26,f72v1,"f72v1.28,&Lz",okedy,okedy
Libra,27,f72v1,"f72v1.29,&Lz",ypaim,ypaim
Libra,28,f72v1,"f72v1.30,&Lz",okalair,okalair
Libra,29,f72v1,"f72v1.31,&Lz",oeeody,oeeody
Libra,30,f72v1,"f72v1.32,&Lz",okeal,okeal
Scorpio,1,f73r,"f73r.1,@Lz",otaly,otaly
Scorpio,2,f73r,"f73r.2,&Lz",chockhy,chockhy
Scorpio,3,f73r,"f73r.3,&Lz",okedy,okedy
Scorpio,4,f73r,"f73r.4,&Lz",yteeody,yteeody
Scorpio,5,f73r,"f73r.6,@Lz",otaly,otaly
Scorpio,6,f73r,"f73r.7,&Lz",okeody,okeody
Scorpio,7,f73r,"f73r.8,&Lz",oteedyl,oteedyl
Scorpio,8,f73r,"f73r.9,&Lz",ykeedy,ykeedy
Scorpio,9,f73r,"f73r.10,&Lz",okeey,okeey
Scorpio,10,f73r,"f73r.11,&Lz",okeedy,okeedy
Scorpio,11,f73r,"f73r.12,&Lz",ykeeory,ykeeory
Scorpio,12,f73r,"f73r.13,&Lz",oteeosy,oteeosy
Scorpio,13,f73r,"f73r.14,&Lz",shekal,shekal
Scorpio,14,f73r,"f73r.15,&Lz",oteedyy,oteedyy
Scorpio,15,f73r,"f73r.16,&Lz",otedal,otedal
Scorpio,16,f73r,"f73r.17,&Lz",chdy,chdy
Scorpio,17,f73r,"f73r.18,&Lz",dalshey,dalshey
Scorpio,18,f73r,"f73r.19,&Lz",opaiin,opaiin
Scorpio,19,f73r,"f73r.20,&Lz",okeos,okeos
Scorpio,20,f73r,"f73r.21,&Lz",otey,otey
Scorpio,21,f73r,"f73r.23,@Lz",otary,otary
Scorpio,22,f73r,"f73r.24,&Lz",okeeody,okeeody
Scorpio,23,f73r,"f73r.25,&Lz",oyteedy,oyteedy
Scorpio,24,f73r,"f73r.26,&Lz",oky,oky
Scorpio,25,f73r,"f73r.27,&Lz",chefy,chefy
Scorpio,26,f73r,"f73r.28,&Lz",otal,otal
Scorpio,27,f73r,"f73r.29,&Lz",chek,chek
Scorpio,28,f73r,"f73r.30,&Lz",ar,ar
Scorpio,29,f73r,"f73r.31,&Lz",kar,kar
Scorpio,30,f73r,"f73r.32,&Lz",okeeos,okeeos
Sagittarius,1,f73v,"f73v.1,@Lz",okal,okal
Sagittarius,2,f73v,"f73v.2,&Lz",oteody,oteody
Sagittarius,3,f73v,"f73v.3,&Lz",oteedy,oteedy
Sagittarius,4,f73v,"f73v.4,&Lz",eeeody,eeeody
Sagittarius,5,f73v,"f73v.6,@Lz",okeody,okeody
Sagittarius,6,f73v,"f73v.7,&Lz",sheol,sheol
Sagittarius,7,f73v,"f73v.8,&Lz",odees,odees
Sagittarius,8,f73v,"f73v.9,&Lz",echsy,echsy
Sagittarius,9,f73v,"f73v.10,&Lz",ykeor,ykeor
Sagittarius,10,f73v,"f73v.11,&Lz",ofals,ofals
Sagittarius,11,f73v,"f73v.12,&Lz",ykeody,ykeody
Sagittarius,12,f73v,"f73v.13,&Lz",oteody,oteody
Sagittarius,13,f73v,"f73v.14,&Lz",ypaiir,ypaiir
Sagittarius,14,f73v,"f73v.15,&Lz",yfaiiny,yfaiiny
Sagittarius,15,f73v,"f73v.16,&Lz",ofcheesy,ofcheesy
Sagittarius,16,f73v,"f73v.17,&Lz",oraiiny,oraiiny
Sagittarius,17,f73v,"f73v.18,&Lz",ykeeody,ykeeody
Sagittarius,18,f73v,"f73v.19,&Lz",okeos,okeos
Sagittarius,19,f73v,"f73v.20,&Lz",ykeear,ykeear
Sagittarius,20,f73v,"f73v.21,&Lz",qokeoly,qokeoly
Sagittarius,21,f73v,"f73v.23,@Lz",otedy,otedy
Sagittarius,22,f73v,"f73v.24,&Lz",eeed,eeed
Sagittarius,23,f73v,"f73v.25,&Lz",oty,oty
Sagittarius,24,f73v,"f73v.26,&Lz",aiain,aiain
Sagittarius,25,f73v,"f73v.27,&Lz",okal,okal
Sagittarius,26,f73v,"f73v.28,&Lz",ykey,ykey
Sagittarius,27,f73v,"f73v.29,&Lz",ykeee,ykeee
Sagittarius,28,f73v,"f73v.30,&Lz",okeod,okeod
Sagittarius,29,f73v,"f73v.31,&Lz",ykey,ykey
Sagittarius,30,f73v,"f73v.32,&Lz",apal,apal
