body_a,body_b,date,jd_ut,separation_deg,ecliptic_longitude_deg,solar_elongation_deg,event_class
Mars,Saturn,1413-06-22 20:01 UT (Julian),2237329.334027761,0.0001659803861286946,76.61734700203286,22.54315325635139,close_conjunction
Mercury,Venus,1413-07-30 12:50 UT (Julian),2237367.034722206,0.0004801705238435261,125.83669275685683,9.379374721688748,close_conjunction
Mercury,Venus,1413-09-06 23:31 UT (Julian),2237405.479861096,2.5775152124651868e-05,173.54847275996644,1.0346148168234208,close_conjunction
Mercury,Jupiter,1413-10-11 18:01 UT (Julian),2237440.250694429,7.093286370718488e-05,227.83024666783075,20.896480985763702,close_conjunction
Venus,Jupiter,1413-10-22 05:38 UT (Julian),2237450.7347222073,0.00020323886965911697,230.11401537560732,12.67010128507573,close_conjunction
Mercury,Venus,1413-11-03 23:37 UT (Julian),2237463.4840277624,0.0003158737467856554,246.06639126068148,15.767299216975431,close_conjunction
Mercury,Jupiter,1413-11-14 00:23 UT (Julian),2237473.515972207,0.0003657697839969387,235.18977387466623,5.266406454712268,close_conjunction
Mercury,Jupiter,1413-12-03 19:32 UT (Julian),2237493.3138888725,0.00012082433846671847,239.56131832234763,21.034911945956196,close_conjunction
Venus,Saturn,1414-04-17 11:09 UT (Julian),2237627.9645833187,8.87641681401874e-05,80.7948319877196,45.423404888305356,close_conjunction
Mercury,Saturn,1414-05-21 04:47 UT (Julian),2237661.699305541,0.0005609725365616214,84.76593253785514,16.959597649739862,close_conjunction
Mercury,Venus,1414-06-07 00:55 UT (Julian),2237678.5381944287,0.00018076913926279303,109.14699124577827,25.27064724772231,close_conjunction
Venus,Saturn,1414-07-19 22:58 UT (Julian),2237721.45694443,0.6834763476004468,92.72410971737126,32.10831115100348,close_conjunction
Mars,Jupiter,1414-09-27 20:36 UT (Julian),2237791.358333316,2.8444680140182754e-06,250.39628619562927,57.5379248562775,close_conjunction
Mercury,Jupiter,1414-12-16 11:56 UT (Julian),2237870.997222207,0.00022914481354519012,267.2579348119625,6.024997692457191,close_conjunction
Venus,Jupiter,1415-01-08 19:28 UT (Julian),2237894.311111095,0.0002447461637871129,272.53749638682245,24.496611381841433,close_conjunction
