year,month,decimal_year,body,longitude_deg
1419,10,1419.7916666666667,Mercury,227.4714010791172
1419,10,1419.7916666666667,Venus,184.1438393131669
1419,10,1419.7916666666667,Mars,187.5407578504571
1419,10,1419.7916666666667,Jupiter,69.89416797355715
1419,10,1419.7916666666667,Saturn,163.02783163157434
1419,11,1419.875,Mercury,254.3878954222827
1419,11,1419.875,Venus,222.83349350348323
1419,11,1419.875,Mars,207.84819925660403
1419,11,1419.875,Jupiter,66.36767482961581
1419,11,1419.875,Saturn,165.49435214966718
1419,12,1419.9583333333333,Mercury,250.34350048947027
1419,12,1419.9583333333333,Venus,260.524449084415
1419,12,1419.9583333333333,Mars,227.77982375061802
1419,12,1419.9583333333333,Jupiter,62.57868258408712
1419,12,1419.9583333333333,Saturn,166.4683792968145
1420,1,1420.0416666666667,Mercury,295.99906794694743
1420,1,1420.0416666666667,Venus,299.47743675655533
1420,1,1420.0416666666667,Mars,248.6517745224317
1420,1,1420.0416666666667,Jupiter,60.81863030679245
1420,1,1420.0416666666667,Saturn,165.78725959017797
1420,2,1420.125,Mercury,351.14939632189146
1420,2,1420.125,Venus,338.2915181467632
1420,2,1420.125,Mars,269.75415306936173
1420,2,1420.125,Jupiter,62.20747170879906
1420,2,1420.125,Saturn,163.75016421259974
1420,3,1420.2083333333333,Mercury,353.04375439568605
1420,3,1420.2083333333333,Venus,14.35697062382022
1420,3,1420.2083333333333,Mars,289.60420167096163
1420,3,1420.2083333333333,Jupiter,65.92928819993666
1420,3,1420.2083333333333,Saturn,161.5181344248042
1420,4,1420.2916666666667,Mercury,8.68441353878848
1420,4,1420.2916666666667,Venus,52.540660055689415
1420,4,1420.2916666666667,Mars,310.6991807445826
1420,4,1420.2916666666667,Jupiter,71.64098648832137
1420,4,1420.2916666666667,Saturn,159.90708739990916
1420,5,1420.375,Mercury,64.072995891976
1420,5,1420.375,Venus,89.05778553736252
1420,5,1420.375,Mars,330.47657380833147
1420,5,1420.375,Jupiter,78.12415592082235
1420,5,1420.375,Saturn,159.77307669337836
1420,6,1420.4583333333333,Mercury,118.26415451773734
1420,6,1420.4583333333333,Venus,126.2229774925597
1420,6,1420.4583333333333,Mars,349.1045543719091
1420,6,1420.4583333333333,Jupiter,85.17414110791835
1420,6,1420.4583333333333,Saturn,161.19486542087745
1420,7,1420.5416666666667,Mercury,123.29559283475623
1420,7,1420.5416666666667,Venus,161.34194474342152
1420,7,1420.5416666666667,Mars,3.0971713378808183
1420,7,1420.5416666666667,Jupiter,91.80230316139121
1420,7,1420.5416666666667,Saturn,163.79281306342702
1420,8,1420.625,Mercury,138.31887805713615
1420,8,1420.625,Venus,196.05995670629562
1420,8,1420.625,Mars,8.842670231851603
1420,8,1420.625,Jupiter,97.8664762350861
1420,8,1420.625,Saturn,167.2903617936434
1420,9,1420.7083333333333,Mercury,194.02925231208968
1420,9,1420.7083333333333,Venus,227.34072441646634
1420,9,1420.7083333333333,Mars,2.5391480862465325
1420,9,1420.7083333333333,Jupiter,102.41584799356852
1420,9,1420.7083333333333,Saturn,171.11317846246905
1420,10,1420.7916666666667,Mercury,234.48908096047143
1420,10,1420.7916666666667,Venus,248.40202891105156
1420,10,1420.7916666666667,Mars,356.6558391860098
1420,10,1420.7916666666667,Jupiter,104.56865613801543
1420,10,1420.7916666666667,Saturn,174.6195622193123
1420,11,1420.875,Mercury,223.88452753137227
1420,11,1420.875,Venus,243.59169314664018
1420,11,1420.875,Mars,1.7554103635413165
1420,11,1420.875,Jupiter,103.80547592964108
1420,11,1420.875,Saturn,177.49417163039385
1420,12,1420.9583333333333,Mercury,260.0036184543952
1420,12,1420.9583333333333,Venus,236.9330229354997
1420,12,1420.9583333333333,Mars,14.139219229239657
1420,12,1420.9583333333333,Jupiter,100.52729917992593
1420,12,1420.9583333333333,Saturn,179.0413063014379
1421,1,1421.0416666666667,Mercury,310.7655048530115
1421,1,1421.0416666666667,Venus,258.10894435321774
1421,1,1421.0416666666667,Mars,30.532592442875725
1421,1,1421.0416666666667,Jupiter,96.58940046636414
1421,1,1421.0416666666667,Saturn,179.00700711296028
1421,2,1421.125,Mercury,344.19765290585843
1421,2,1421.125,Venus,289.9531187384733
1421,2,1421.125,Mars,48.54293381621628
1421,2,1421.125,Jupiter,94.63942894145853
1421,2,1421.125,Saturn,177.42043127506747
1421,3,1421.2083333333333,Mercury,336.14235223862727
1421,3,1421.2083333333333,Venus,321.70903822578197
1421,3,1421.2083333333333,Mars,65.41329949502007
1421,3,1421.2083333333333,Jupiter,95.4860174831265
1421,3,1421.2083333333333,Saturn,175.29230925771324
1421,4,1421.2916666666667,Mercury,19.117082987181345
1421,4,1421.2916666666667,Venus,358.1430657826776
1421,4,1421.2916666666667,Mars,84.37189952547554
1421,4,1421.2916666666667,Jupiter,98.96289282292354
1421,4,1421.2916666666667,Saturn,173.24890678487085
1421,5,1421.375,Mercury,80.58997846730644
1421,5,1421.375,Venus,33.984900981732196
1421,5,1421.375,Mars,102.85537151899759
1421,5,1421.375,Jupiter,104.10117579812575
1421,5,1421.375,Saturn,172.4501874100706
1421,6,1421.4583333333333,Mercury,109.80860976443512
1421,6,1421.4583333333333,Venus,71.40542706940838
1421,6,1421.4583333333333,Mars,122.07906880625193
1421,6,1421.4583333333333,Jupiter,110.47824788493062
1421,6,1421.4583333333333,Saturn,173.1840976547115
1421,7,1421.5416666666667,Mercury,101.97962234983767
1421,7,1421.5416666666667,Venus,108.0081059510157
1421,7,1421.5416666666667,Mars,140.8594848205683
1421,7,1421.5416666666667,Jupiter,117.08151924994648
1421,7,1421.5416666666667,Saturn,175.2566688404275
1421,8,1421.625,Mercury,153.80103768873136
1421,8,1421.625,Venus,146.26260805593702
1421,8,1421.625,Mars,160.54399096794558
1421,8,1421.625,Jupiter,123.78993139332277
1421,8,1421.625,Saturn,178.4124446493084
1421,9,1421.7083333333333,Mercury,203.54216722734384
1421,9,1421.7083333333333,Venus,184.85671545743375
1421,9,1421.7083333333333,Mars,180.61871312734488
1421,9,1421.7083333333333,Jupiter,129.7750506294847
1421,9,1421.7083333333333,Saturn,182.1147941696874
1421,10,1421.7916666666667,Mercury,220.71945864277902
1421,10,1421.7916666666667,Venus,222.35509488387555
1421,10,1421.7916666666667,Mars,200.50986773463384
1421,10,1421.7916666666667,Jupiter,134.18128790283166
1421,10,1421.7916666666667,Saturn,185.72379190202298
1421,11,1421.875,Mercury,225.00318978762473
1421,11,1421.875,Venus,261.1174033594572
1421,11,1421.875,Mars,221.61280102827783
1421,11,1421.875,Jupiter,136.45875476741733
1421,11,1421.875,Saturn,188.9372809976947
1421,12,1421.9583333333333,Mercury,271.1714775977176
1421,12,1421.9583333333333,Venus,298.5309124872387
1421,12,1421.9583333333333,Mars,242.59888701423986
1421,12,1421.9583333333333,Jupiter,135.82226946111234
1421,12,1421.9583333333333,Saturn,191.02084496545044
1422,1,1422.0416666666667,Mercury,321.8352503729803
1422,1,1422.0416666666667,Venus,336.8342848392323
1422,1,1422.0416666666667,Mars,264.8597614139159
1422,1,1422.0416666666667,Jupiter,132.56208778537467
1422,1,1422.0416666666667,Saturn,191.66470712237836
1422,2,1422.125,Mercury,314.28198333737913
1422,2,1422.125,Venus,14.247453110819594
1422,2,1422.125,Mars,287.6440043132439
1422,2,1422.125,Jupiter,128.66346349071534
1422,2,1422.125,Saturn,190.6635233429507
1422,3,1422.2083333333333,Mercury,338.99855045347374
1422,3,1422.2083333333333,Venus,46.53458022210081
